studno,description,action,datefiled,dateresolved
2019-94912,id lobortis convallis tortor risus dapibus augue,sit,1992-06-04,1995-04-07
2018-83834,elementum pellentesque quisque porta volutpat erat quisque erat eros,ipsum,1995-03-24,1999-09-21
2002-39091,nisi nam ultrices libero non,lorem,1999-07-20,1991-02-03
2010-49137,pretium iaculis justo in hac habitasse platea,in,1994-08-07,1993-06-19
2011-76643,lorem quisque ut erat curabitur gravida nisi,etiam,1992-09-07,1996-02-16
1991-10903,ornare consequat lectus in est risus auctor sed tristique in,nulla,1998-08-12,2000-05-11
2015-03959,eleifend pede libero quis orci nullam molestie,id,1992-10-20,1997-08-27
2012-75817,justo aliquam quis turpis eget elit sodales scelerisque mauris,risus,1998-01-29,1998-03-05
2016-87073,aliquam sit amet diam in,metus,1999-07-13,1996-03-11
2011-21560,risus auctor sed tristique in,ut,1991-08-12,1993-09-19
2015-21037,id justo sit amet sapien dignissim vestibulum,turpis,1998-04-16,1995-02-14
2017-87078,amet justo morbi ut odio cras mi,ac,1992-10-15,1992-11-16
1996-27960,vulputate justo in blandit ultrices enim lorem,metus,1997-07-09,1990-06-30
2004-70467,ut tellus nulla ut erat id mauris vulputate elementum,nisl,1990-03-06,2000-05-21
2005-24846,sollicitudin mi sit amet lobortis sapien sapien non mi integer,nulla,1997-10-27,1996-03-06
2018-74102,elementum pellentesque quisque porta volutpat,ultrices,1995-01-13,1992-11-24
2013-81083,mollis molestie lorem quisque ut erat curabitur gravida nisi at,convallis,1992-08-31,1999-10-20
2018-59292,porttitor lorem id ligula suspendisse ornare consequat lectus in,odio,2000-03-30,1990-02-16
2006-96948,aenean lectus pellentesque eget nunc donec quis,porta,2000-01-03,1994-01-04
2007-37629,ante vel ipsum praesent blandit lacinia erat vestibulum,aliquam,1992-02-23,1995-02-05
2007-87766,porttitor lacus at turpis donec posuere,urna,1998-04-22,1999-08-22
1991-17279,diam in magna bibendum imperdiet nullam orci,suspendisse,2000-01-05,1997-04-08
2010-36300,amet consectetuer adipiscing elit proin,curabitur,1999-02-25,1998-07-17
2019-64802,in tempus sit amet sem fusce consequat nulla,in,1999-12-19,1991-06-14
1992-67141,rutrum nulla tellus in sagittis dui vel,potenti,1995-12-06,1997-07-10
2009-08712,libero rutrum ac lobortis vel,in,1990-03-20,1993-07-23
2013-20553,tempus sit amet sem fusce consequat nulla,elementum,1992-07-05,1994-11-09
1996-33126,posuere cubilia curae mauris viverra diam vitae quam suspendisse potenti,lorem,1998-05-17,1997-01-01
2009-38890,eget rutrum at lorem integer tincidunt ante vel ipsum,eget,1996-04-24,1996-06-10
2014-94129,orci luctus et ultrices posuere cubilia curae,vel,1990-05-28,1998-03-19
2000-82430,magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis,felis,1993-02-15,1991-12-02
2001-55418,imperdiet nullam orci pede venenatis,turpis,1990-03-01,1995-05-08
1991-79252,at turpis a pede posuere nonummy integer non velit donec,ornare,2000-07-19,1994-01-03
2019-06464,potenti cras in purus eu magna,in,1995-07-02,1997-03-17
2018-16138,iaculis justo in hac habitasse platea dictumst etiam faucibus,in,1992-08-21,1993-04-20
1997-22678,consequat lectus in est risus auctor sed tristique in tempus,posuere,1990-08-24,1991-01-08
2015-11806,orci nullam molestie nibh in lectus pellentesque at nulla,eu,1992-12-13,1996-09-08
2015-12752,non mauris morbi non lectus aliquam sit,pretium,1997-06-01,1998-05-10
2003-83021,donec dapibus duis at velit eu,pede,1996-02-18,1993-04-07
1995-78935,quis augue luctus tincidunt nulla mollis molestie lorem,tellus,1991-12-01,2000-08-14
2014-69746,nulla mollis molestie lorem quisque,at,2000-04-12,1992-07-21
1999-45353,sollicitudin vitae consectetuer eget rutrum,dictumst,1996-11-05,1992-11-27
2013-51296,sapien cursus vestibulum proin eu mi nulla ac,nec,1991-10-14,2000-06-19
2019-29730,quam nec dui luctus rutrum nulla tellus in sagittis dui,magna,1991-12-25,1993-02-10
2006-00415,quam sapien varius ut blandit,bibendum,1991-06-04,1997-08-27
2007-71818,semper sapien a libero nam dui proin,sed,1994-01-09,1998-12-18
2013-61505,non mauris morbi non lectus aliquam sit,quis,1997-06-01,1993-01-30
2016-79182,eu nibh quisque id justo sit,praesent,1994-10-25,1993-04-23
2013-07759,nibh in lectus pellentesque at nulla,ultrices,1991-05-09,1990-07-12
2011-35662,natoque penatibus et magnis dis parturient,elementum,1999-09-29,1995-04-13
2012-02202,est et tempus semper est quam pharetra,semper,1998-10-14,1990-05-09
2011-38209,lacinia nisi venenatis tristique fusce congue,libero,1991-08-20,2000-04-15
2019-76931,bibendum imperdiet nullam orci pede venenatis non sodales,in,1997-02-18,1995-04-09
2019-57270,ultrices posuere cubilia curae mauris viverra diam vitae,cubilia,1991-10-16,1995-08-10
2003-23094,orci eget orci vehicula condimentum curabitur in libero ut massa,sollicitudin,2000-03-04,1996-04-16
2019-75616,pretium nisl ut volutpat sapien arcu sed augue,in,1991-04-26,1996-06-03
2007-61744,aenean auctor gravida sem praesent id,posuere,1994-07-23,1995-04-18
2011-55730,porttitor id consequat in consequat,auctor,1995-02-09,1996-02-18
2010-43385,aliquet pulvinar sed nisl nunc rhoncus dui vel sem,velit,2000-05-21,1997-12-14
2018-45311,platea dictumst morbi vestibulum velit id pretium iaculis,consequat,1991-12-30,2000-11-26
2013-16644,facilisi cras non velit nec nisi vulputate nonummy,quis,1998-03-11,1998-03-13
2017-38847,posuere nonummy integer non velit donec,integer,1999-04-13,1994-12-23
2012-45189,in purus eu magna vulputate luctus cum sociis natoque penatibus,imperdiet,1992-04-24,1990-04-08
2012-04810,ac est lacinia nisi venenatis,sit,1992-01-10,1990-10-24
1992-67792,faucibus orci luctus et ultrices posuere cubilia curae donec pharetra,pede,1991-10-30,1993-11-16
2019-04036,venenatis lacinia aenean sit amet,nisl,1992-08-15,1998-07-11
2018-64606,erat volutpat in congue etiam justo etiam pretium,felis,1999-11-13,1995-06-13
2019-87349,lorem id ligula suspendisse ornare consequat lectus in est,nullam,1998-12-23,1991-07-22
1993-47182,blandit lacinia erat vestibulum sed magna at nunc,vestibulum,1992-10-03,1994-12-21
2014-26600,eu nibh quisque id justo sit amet sapien dignissim,fermentum,2000-05-10,1994-04-09
2006-73308,congue vivamus metus arcu adipiscing molestie,justo,1994-11-21,1997-05-08
2000-68348,ante vel ipsum praesent blandit lacinia,sapien,1990-05-08,1994-07-03
1996-55698,in est risus auctor sed tristique in tempus sit,interdum,1999-10-19,1991-11-02
2013-63836,at turpis donec posuere metus vitae ipsum,congue,1998-05-08,1991-07-14
1990-10993,erat vestibulum sed magna at nunc commodo,dapibus,1998-04-19,1996-07-09
2015-18168,ut volutpat sapien arcu sed augue aliquam,nisl,1994-12-26,1992-11-22
2004-03391,vestibulum velit id pretium iaculis diam,morbi,1990-11-13,2000-05-03
2017-13878,dignissim vestibulum vestibulum ante ipsum primis in faucibus orci luctus,at,1994-05-06,1991-10-24
2015-35946,tristique fusce congue diam id ornare imperdiet sapien,ante,1994-09-05,1993-12-29
2015-45535,urna ut tellus nulla ut erat id,justo,1990-09-13,1990-02-13
2009-97675,neque vestibulum eget vulputate ut ultrices vel augue vestibulum,pretium,1995-05-20,1999-06-30
2010-79808,nibh in lectus pellentesque at nulla suspendisse,hac,1992-12-06,1997-03-27
2004-49990,aenean sit amet justo morbi ut odio cras mi pede,pede,2000-06-20,1990-04-21
2010-94894,purus phasellus in felis donec semper,turpis,1996-09-07,1991-02-08
2005-73678,sit amet diam in magna bibendum imperdiet nullam orci pede,praesent,1994-07-01,1992-11-19
2017-48997,in quam fringilla rhoncus mauris enim leo rhoncus,ultrices,1993-10-02,1994-11-22
2009-18109,vestibulum vestibulum ante ipsum primis in faucibus orci luctus et,semper,1998-07-07,1993-07-03
2011-88728,ultrices posuere cubilia curae duis faucibus accumsan odio curabitur,sed,1994-07-02,1996-08-16
2016-21433,augue vestibulum rutrum rutrum neque aenean,vitae,2000-03-25,1996-01-15
2004-75603,viverra pede ac diam cras pellentesque volutpat dui maecenas,sed,1996-04-23,1995-05-12
2007-53158,orci luctus et ultrices posuere,venenatis,1996-12-07,1990-06-22
2000-21355,nam ultrices libero non mattis pulvinar nulla,amet,1999-10-04,1998-01-25
2004-09254,bibendum morbi non quam nec dui luctus rutrum nulla tellus,suspendisse,2000-10-02,1995-09-15
2010-70698,quam turpis adipiscing lorem vitae mattis nibh ligula nec,nam,1993-07-14,1992-11-27
1992-05285,sed nisl nunc rhoncus dui vel,in,1999-01-07,1993-11-22
2002-45919,odio cras mi pede malesuada in imperdiet et,malesuada,1998-04-23,1999-10-14
2016-01024,mattis nibh ligula nec sem duis aliquam convallis,ligula,1997-11-22,1993-08-11
2004-78763,mattis nibh ligula nec sem duis aliquam convallis nunc,lacinia,1993-12-30,1996-11-27
2012-25268,orci vehicula condimentum curabitur in libero ut massa,nulla,1997-07-21,1992-08-11
2019-70471,at feugiat non pretium quis lectus suspendisse,rutrum,1991-03-23,1999-06-18
2018-43502,odio in hac habitasse platea dictumst maecenas,commodo,2000-11-28,1993-01-28
2018-21793,ut rhoncus aliquet pulvinar sed nisl,orci,1998-05-02,1994-03-03
2000-35034,posuere cubilia curae nulla dapibus dolor vel est,eu,1997-10-02,1997-10-18
2010-44504,sem fusce consequat nulla nisl nunc nisl duis,integer,1991-03-18,1997-03-20
2010-28282,vitae ipsum aliquam non mauris morbi non lectus,rutrum,1992-05-12,1993-04-12
1994-14689,morbi ut odio cras mi pede malesuada in,aliquam,1999-09-22,1998-02-09
2000-29206,in lectus pellentesque at nulla suspendisse potenti cras,sit,1998-06-26,1998-12-27
2013-87562,sodales scelerisque mauris sit amet eros,in,1998-11-15,1991-06-04
2017-67051,a suscipit nulla elit ac nulla sed vel enim sit,ullamcorper,1992-07-06,1994-04-27
2000-98329,curabitur convallis duis consequat dui nec nisi volutpat,suscipit,1998-10-20,1996-05-30
2007-90169,mattis nibh ligula nec sem duis aliquam,potenti,1996-04-21,1996-02-28
2015-90009,ligula in lacus curabitur at ipsum,ante,1993-01-02,1997-06-24
2004-80279,enim blandit mi in porttitor pede justo eu massa,ac,1994-04-15,2000-08-28
2015-51361,lacus at turpis donec posuere metus vitae ipsum,dapibus,1990-05-03,1994-11-01
2005-80911,amet eros suspendisse accumsan tortor quis turpis sed ante,pede,1997-04-21,1994-06-23
2016-14504,magna ac consequat metus sapien ut,in,1996-01-15,1997-07-05
2007-26232,sapien cum sociis natoque penatibus et magnis dis,dapibus,1996-08-22,1996-10-16
1995-68820,quis libero nullam sit amet turpis elementum ligula vehicula,ultrices,1999-08-13,1993-07-17
2016-37234,leo pellentesque ultrices mattis odio donec vitae nisi nam ultrices,in,1998-09-26,1996-03-10
2007-09035,et ultrices posuere cubilia curae nulla dapibus dolor vel est,ante,1992-07-17,1998-03-14
2010-02411,erat fermentum justo nec condimentum,metus,1995-01-17,1993-10-18
2018-06087,tortor quis turpis sed ante vivamus tortor,erat,1998-06-12,2000-02-04
2015-85974,consectetuer eget rutrum at lorem integer tincidunt ante,volutpat,1994-07-28,2000-11-18
2015-71119,phasellus sit amet erat nulla tempus vivamus in felis eu,semper,1993-08-02,1994-09-30
2009-42955,mauris lacinia sapien quis libero nullam sit amet,felis,1995-07-28,2000-07-26
2016-01261,augue aliquam erat volutpat in congue etiam justo etiam pretium,id,1994-12-28,1994-01-25
2011-50696,at vulputate vitae nisl aenean lectus pellentesque,est,1991-04-22,1998-03-28
2009-24168,diam neque vestibulum eget vulputate ut,risus,1996-08-13,1993-09-12
2016-51719,eget eleifend luctus ultricies eu nibh quisque id justo sit,tristique,1997-12-08,1998-06-06
2016-02650,semper est quam pharetra magna ac,etiam,1994-12-16,1996-06-01
2015-85762,faucibus orci luctus et ultrices,vestibulum,1998-11-03,1995-02-11
2003-47088,posuere metus vitae ipsum aliquam non mauris morbi,magnis,1998-06-24,2000-01-07
2009-42774,quam sollicitudin vitae consectetuer eget rutrum at,nulla,1993-02-27,1998-02-21
2017-76708,rhoncus dui vel sem sed sagittis nam congue,diam,1992-10-27,1990-08-11
2011-84591,augue aliquam erat volutpat in,enim,1990-06-29,1994-03-26
1994-41526,vulputate justo in blandit ultrices enim lorem,eu,1990-08-05,1997-05-31
2013-15960,risus dapibus augue vel accumsan,vulputate,1994-11-01,1994-04-25
2016-76499,nunc rhoncus dui vel sem sed sagittis nam congue risus,convallis,1993-03-19,1999-09-10
2005-67217,ut volutpat sapien arcu sed augue aliquam,pellentesque,1991-12-08,1997-04-08
2013-03094,posuere cubilia curae donec pharetra magna,potenti,1999-07-20,1999-09-24
1992-11356,ridiculus mus vivamus vestibulum sagittis,platea,1993-04-14,1994-05-10
2012-40088,ac nibh fusce lacus purus aliquet at feugiat non pretium,congue,1996-05-02,2000-07-11
2014-56272,posuere nonummy integer non velit,ultrices,1990-12-14,1997-05-17
1995-29923,quisque porta volutpat erat quisque erat eros viverra eget congue,enim,1996-08-22,1995-09-10
2013-92808,nisl ut volutpat sapien arcu sed augue,nascetur,1997-03-11,1991-08-15
2011-65237,sit amet eleifend pede libero quis orci,eget,1999-10-08,1997-05-01
1993-85120,metus vitae ipsum aliquam non,sed,1991-12-31,1993-10-07
1996-88327,nunc donec quis orci eget orci,tempus,1990-12-06,1991-10-14
1999-98254,eleifend quam a odio in,sit,2000-09-10,1997-03-27
1990-38162,nunc vestibulum ante ipsum primis in faucibus,diam,1995-07-07,1990-10-01
1998-84658,orci pede venenatis non sodales sed tincidunt eu felis fusce,nisi,1994-02-21,1997-11-01
1993-82333,consequat lectus in est risus auctor,mauris,2000-09-19,1997-04-19
2002-34177,augue vestibulum ante ipsum primis in faucibus,dapibus,1997-06-25,1996-07-02
2017-59391,purus aliquet at feugiat non,porta,1999-12-10,1994-05-25
2008-68313,in hac habitasse platea dictumst morbi vestibulum velit id pretium,ipsum,1993-09-29,1999-04-23
2013-14304,lectus in quam fringilla rhoncus mauris enim leo rhoncus sed,nunc,1993-01-09,1990-05-17
2013-69503,nunc nisl duis bibendum felis sed interdum venenatis turpis,posuere,1999-06-22,1990-02-07
2014-83319,nulla ut erat id mauris vulputate elementum nullam varius,consequat,1990-06-03,2000-09-23
1993-41812,eu orci mauris lacinia sapien quis libero nullam,primis,1995-10-28,1990-01-14
2013-07756,ridiculus mus vivamus vestibulum sagittis sapien,ligula,1992-12-19,1994-04-04
2011-07115,pulvinar sed nisl nunc rhoncus dui,nec,1997-11-24,1993-10-26
2012-02121,dapibus augue vel accumsan tellus nisi,vulputate,1999-11-02,1995-01-21
1991-10084,adipiscing elit proin interdum mauris non ligula pellentesque ultrices,tincidunt,1998-08-15,1993-10-26
1998-33710,nullam varius nulla facilisi cras,turpis,1999-11-17,1993-05-28
2008-51692,elementum eu interdum eu tincidunt,erat,1997-12-15,1998-11-27
2005-67408,suspendisse potenti nullam porttitor lacus at turpis donec posuere metus,ac,1997-12-23,1991-11-19
1994-22936,cras non velit nec nisi vulputate nonummy maecenas tincidunt lacus,vitae,1991-07-18,1993-11-21
1995-19645,erat tortor sollicitudin mi sit amet lobortis,sagittis,1990-10-20,2000-03-14
2004-91301,rutrum ac lobortis vel dapibus at diam,sit,1998-06-10,1990-03-02
2007-93648,magna ac consequat metus sapien ut nunc vestibulum ante,duis,1997-10-22,1990-07-26
2014-57929,ipsum primis in faucibus orci luctus et ultrices,ultrices,1993-04-19,1990-11-27
2019-95383,amet sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus,facilisi,1990-04-26,1992-02-02
2017-86174,quam sollicitudin vitae consectetuer eget rutrum at,sodales,1999-04-28,1995-03-15
2008-98989,pede justo lacinia eget tincidunt eget tempus vel pede morbi,duis,2000-03-08,1995-08-09
2018-57260,sapien arcu sed augue aliquam erat volutpat in,vulputate,1995-02-23,2000-03-30
1994-67768,ultrices enim lorem ipsum dolor sit amet consectetuer,erat,1998-02-12,1998-06-14
1998-91948,enim sit amet nunc viverra dapibus nulla suscipit ligula in,et,1992-07-12,1992-05-17
2018-40996,ipsum primis in faucibus orci luctus et ultrices,ac,1990-07-05,1996-05-21
1991-01242,congue elementum in hac habitasse platea dictumst,nec,1993-11-02,2000-12-10
2012-80747,curae mauris viverra diam vitae quam suspendisse potenti nullam porttitor,sed,1991-04-02,1999-12-13
2000-62519,dui vel nisl duis ac nibh fusce,rhoncus,1997-06-26,1995-09-12
2007-87597,in faucibus orci luctus et,diam,1993-04-13,1994-01-25
1995-74110,id luctus nec molestie sed justo pellentesque,mi,1996-06-17,1996-02-02
1990-06589,parturient montes nascetur ridiculus mus etiam vel augue vestibulum,quam,1997-08-11,1997-11-22
1997-35597,ut rhoncus aliquet pulvinar sed nisl,ac,1991-11-16,1990-11-27
2003-68127,eu magna vulputate luctus cum sociis natoque penatibus et,vivamus,1991-04-14,1995-08-16
2010-34658,eros viverra eget congue eget,nisi,1991-07-28,1992-11-23
2010-14694,sit amet turpis elementum ligula vehicula consequat,cubilia,2000-02-06,1993-08-11
2005-46440,posuere cubilia curae nulla dapibus dolor vel est donec odio,elementum,1993-03-23,1995-10-06
2019-74831,placerat praesent blandit nam nulla integer pede,vestibulum,2000-05-25,1995-08-14
2004-13834,odio donec vitae nisi nam,nibh,2000-06-30,1990-01-13
2015-07324,sollicitudin ut suscipit a feugiat et eros vestibulum,rutrum,1999-08-07,1994-04-30
1996-19331,feugiat et eros vestibulum ac est lacinia nisi,sapien,1999-06-12,1992-05-26
2002-58785,purus aliquet at feugiat non pretium quis lectus suspendisse,lorem,1993-02-19,1994-08-28
1993-52188,nullam porttitor lacus at turpis donec,augue,2000-01-05,1996-01-09
2006-25052,tellus nulla ut erat id mauris vulputate,mus,2000-12-09,1998-02-23
2013-79602,tellus nisi eu orci mauris,elementum,1995-04-01,1994-03-31
2014-29269,lobortis vel dapibus at diam,morbi,1998-10-22,1990-08-09
2001-23365,augue a suscipit nulla elit ac nulla sed,habitasse,1996-04-13,1994-11-17
2012-46728,tempor turpis nec euismod scelerisque quam turpis adipiscing lorem,dui,1996-01-04,2000-09-21
2017-97487,ac lobortis vel dapibus at diam nam tristique tortor eu,eu,2000-05-24,1998-10-30
2015-57939,donec quis orci eget orci vehicula,diam,1992-03-23,1990-04-25
2014-04488,ante vel ipsum praesent blandit lacinia erat vestibulum,orci,1997-12-13,1992-02-17
2008-51085,turpis sed ante vivamus tortor,mauris,2000-10-30,1990-09-15
2013-23911,habitasse platea dictumst morbi vestibulum,ante,1991-10-31,1991-04-22
2005-29677,morbi non quam nec dui,id,1994-11-18,1998-12-10
1995-86225,et tempus semper est quam pharetra,in,1992-05-10,1992-11-12
2010-04533,mauris enim leo rhoncus sed vestibulum,at,2000-07-10,1995-03-29
1990-45426,faucibus cursus urna ut tellus nulla,id,1990-12-14,1992-12-10
1998-16230,justo in blandit ultrices enim lorem ipsum dolor sit amet,interdum,1996-07-21,1993-01-11
2005-72877,in tempor turpis nec euismod scelerisque,maecenas,1996-02-29,1995-07-23
2013-81435,adipiscing lorem vitae mattis nibh ligula nec sem duis,ut,1991-06-07,1995-06-27
2011-34612,sit amet eros suspendisse accumsan,nulla,1999-10-29,1999-03-03
1994-17040,luctus et ultrices posuere cubilia curae duis faucibus accumsan,fermentum,2000-07-18,1993-10-27
1999-43490,in lectus pellentesque at nulla suspendisse potenti,fermentum,1996-11-09,1996-05-10
2016-18972,pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin,elementum,1992-06-03,1994-08-16
2017-35885,feugiat et eros vestibulum ac est,cursus,1995-05-23,1998-11-23
2007-39166,maecenas pulvinar lobortis est phasellus sit amet erat,felis,2000-09-24,1998-12-29
2016-90986,pellentesque ultrices phasellus id sapien in,diam,1996-12-25,1998-06-30
2019-23770,aenean auctor gravida sem praesent id massa,vestibulum,1992-11-12,1991-06-02
2011-63926,venenatis turpis enim blandit mi in porttitor pede justo eu,lacus,1998-05-04,1997-07-19
2014-95935,cursus vestibulum proin eu mi nulla,amet,1990-11-05,1990-08-25
2018-06548,molestie lorem quisque ut erat curabitur gravida nisi at,pellentesque,1995-09-24,1991-10-12
2007-09218,pellentesque ultrices phasellus id sapien in sapien iaculis,vitae,2000-10-12,1998-06-24
1992-87773,diam vitae quam suspendisse potenti nullam,tortor,1994-03-14,1998-10-08
2003-23783,aliquam quis turpis eget elit sodales,in,2000-01-23,1993-05-10
1994-90418,habitasse platea dictumst etiam faucibus cursus,neque,1990-06-01,1994-01-26
2010-92959,dictumst etiam faucibus cursus urna ut tellus,velit,1997-08-26,2000-08-15
2012-29303,quis libero nullam sit amet,sed,1994-11-23,1994-04-13
2014-17145,vel dapibus at diam nam tristique,magnis,1991-03-02,1991-11-11
1991-69278,praesent blandit nam nulla integer pede,etiam,1996-03-24,1995-08-12
2018-52399,sed accumsan felis ut at dolor quis odio,platea,1999-01-13,1993-03-06
2011-24785,donec ut dolor morbi vel lectus in quam fringilla rhoncus,sagittis,1995-03-21,1995-12-21
1996-08964,tristique est et tempus semper est,eu,1991-04-06,2000-11-27
2017-65032,semper interdum mauris ullamcorper purus sit amet nulla quisque arcu,ac,1990-06-26,1991-01-21
1998-84388,amet turpis elementum ligula vehicula consequat morbi a ipsum integer,et,1992-12-17,1996-09-04
2012-63432,sapien a libero nam dui proin leo odio porttitor,erat,1993-06-25,1995-06-28
2016-63895,quam pharetra magna ac consequat metus sapien ut,ultrices,2000-07-12,1994-09-12
2001-77220,turpis enim blandit mi in porttitor pede justo,eros,1998-07-17,1996-08-16
2004-27599,purus phasellus in felis donec semper sapien,proin,1992-03-13,1992-10-20
2013-16886,semper rutrum nulla nunc purus phasellus,in,1997-04-08,1996-04-03
2002-76557,sit amet sapien dignissim vestibulum,quisque,1993-12-03,1993-06-12
2003-87787,mauris sit amet eros suspendisse accumsan tortor quis turpis sed,blandit,1998-10-27,1990-10-21
2003-75703,sed vel enim sit amet nunc viverra dapibus,velit,1992-06-11,1991-06-06
1995-14158,nulla eget eros elementum pellentesque quisque porta volutpat,quisque,1992-09-09,1996-09-03
2018-68434,odio condimentum id luctus nec molestie,purus,1992-08-03,1990-02-26
2006-79039,at velit vivamus vel nulla eget eros,potenti,2000-09-21,1998-11-14
1992-63904,rutrum nulla tellus in sagittis dui vel nisl duis ac,lacinia,1993-01-23,1999-09-15
2005-09797,augue vestibulum rutrum rutrum neque aenean,velit,1996-07-04,1992-02-26
1991-36838,eget tincidunt eget tempus vel pede,sollicitudin,1999-03-01,1999-02-15
2003-68531,lobortis vel dapibus at diam nam tristique,dictumst,1996-07-11,1999-06-08
2011-69319,phasellus in felis donec semper sapien a,sit,1990-01-25,1994-02-16
1991-77156,magna at nunc commodo placerat praesent,morbi,1993-07-10,1999-02-02
1997-28945,augue quam sollicitudin vitae consectetuer eget rutrum at lorem,pellentesque,1998-12-19,1993-04-13
2017-55418,adipiscing elit proin risus praesent lectus vestibulum quam,viverra,1995-01-08,1992-09-03
2010-48635,velit donec diam neque vestibulum eget vulputate,suspendisse,1997-01-17,2000-04-15
2018-85592,diam in magna bibendum imperdiet nullam orci pede,sapien,1996-08-16,1994-10-31
1995-95768,posuere cubilia curae duis faucibus accumsan odio curabitur convallis,scelerisque,1996-10-17,1996-07-16
2001-13424,in imperdiet et commodo vulputate justo in blandit,dui,1992-03-10,2000-09-09
1997-85654,amet eros suspendisse accumsan tortor quis turpis,amet,1999-05-18,1991-12-06
1994-65075,nascetur ridiculus mus etiam vel augue vestibulum rutrum,luctus,1994-01-05,1995-04-01
1994-15161,purus aliquet at feugiat non pretium,nulla,1997-12-04,1998-03-20
1996-59161,nulla neque libero convallis eget eleifend,montes,1994-07-21,1990-09-08
2019-26644,ullamcorper purus sit amet nulla quisque arcu,nulla,1990-02-02,1996-05-09
2013-27628,curae mauris viverra diam vitae quam suspendisse potenti nullam,in,1997-11-04,1990-06-03
2007-03219,sapien iaculis congue vivamus metus arcu,tellus,1997-06-04,1993-12-28
1992-04158,in tempus sit amet sem fusce,diam,1998-04-26,1994-02-27
2015-11503,vel ipsum praesent blandit lacinia erat vestibulum sed magna,dolor,2000-05-18,1992-02-17
2005-38889,libero convallis eget eleifend luctus ultricies eu nibh,odio,1990-12-14,1999-04-12
2016-00099,vulputate justo in blandit ultrices enim lorem ipsum dolor sit,justo,1998-06-23,1996-03-08
2018-45458,nulla nisl nunc nisl duis bibendum felis sed interdum venenatis,proin,1990-03-30,1997-12-07
2003-41196,ut nunc vestibulum ante ipsum primis in,luctus,1996-03-02,2000-07-26
2016-05981,odio consequat varius integer ac leo pellentesque,fermentum,1994-05-07,1991-05-11
2019-72903,lorem ipsum dolor sit amet,ut,1992-07-25,1996-12-23
1998-09377,bibendum morbi non quam nec dui luctus rutrum nulla tellus,nec,1996-08-03,1998-11-28
2004-60118,arcu sed augue aliquam erat volutpat in,semper,1994-05-25,1990-06-14
2019-37002,at velit eu est congue elementum,donec,1991-05-18,1996-10-16
2013-92433,consequat dui nec nisi volutpat eleifend donec ut dolor morbi,a,1993-05-29,2000-09-20
2015-55297,justo in hac habitasse platea dictumst etiam,primis,1990-07-26,1993-05-04
2008-90828,mattis pulvinar nulla pede ullamcorper augue a suscipit nulla,nisi,1999-11-17,2000-04-11
2003-44295,ac consequat metus sapien ut nunc,non,1999-09-24,1991-06-29
2009-28755,elit sodales scelerisque mauris sit amet eros,libero,1998-10-15,2000-06-14
1995-15465,aenean fermentum donec ut mauris eget massa,blandit,1990-06-09,1995-02-19
1993-97869,in hac habitasse platea dictumst aliquam augue quam sollicitudin,ut,2000-02-03,1997-01-19
2012-51147,praesent lectus vestibulum quam sapien varius,posuere,1995-09-04,2000-11-08
2016-87504,ultrices mattis odio donec vitae nisi nam ultrices,habitasse,1996-05-03,1994-01-12
2008-13037,vestibulum sagittis sapien cum sociis natoque penatibus,erat,1994-04-26,1999-01-19
